Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000019997,Ccn2,0.3684787530782427,-0.38452100932780375,0.0000000000001462573626490546,0.25566658998871156,-0.8921522281919205,0.000000000000000000000000000000000000000000009977782615643852,1.5184570505115664,2.358958247722481,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019813977358387745,0.029650290548382387,-3.971240704066375,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023028152282487703
ENSMUSG00000047139,Cd24a,0.3195155005269373,-0.6011270380165752,0.0000000000000000000000000000000000002813935320689893,0.6109472045535989,0.9141760450972662,0.0000000000000000000000000000000000000000000000000000000000000000000022371399870227028,0.3416758293549648,-0.2322809656316891,0.0040371683940629505,0.331059359216471,-0.28442756094519006,0.0002509607389557611
ENSMUSG00000044811,Cd300c2,0.11730418809111329,-0.9826904015052262,0.0000000000000000000000000000000000000000000000000000000000000002756323296167804,0.3221700039408893,1.4291546248220595,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011299748213687842,0.1871629374797721,0.1570091090484289,0.10461269159855856,0.06847297313691185,-1.4098294868565548,0.00000000000000000000000000000000006362040387630787
ENSMUSG00000005087,Cd44,0.04329701042743525,-1.4746249689743607,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018687799351066307,0.15351283107489966,1.506834981255397,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004968770194699773,0.14991429390271674,1.0860574055974186,0.000000000000000000000000000000002443962217669483,0.017918161194705903,-2.2502598269691436,0.0000000000000000000000000000000000000000000000000000017607687050968694
ENSMUSG00000040747,Cd53,0.21224618398344133,-1.0057327468038832,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019728163677981952,0.5612812886176018,1.3013540169660032,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002164355601067522,0.4324981393113653,0.5434877063708718,0.00000000000005107783524274041,0.11412162189485307,-1.5503331899512598,0.000000000000000000000000000000000000000000000000000000000000000055000644037611465
ENSMUSG00000018774,Cd68,0.20869937593643867,-0.8540149704148758,0.000000000000000000000000000000000000000000000000000000000005359600289891784,0.45442431796742666,0.9789120344911884,0.000000000000000000000000000000000000000000000000000000000000000029196519705137337,0.4345675083989795,0.6902023628680296,0.000000000000000018327162173239567,0.1491046985130884,-1.0215533428564372,0.0000000000000000000000000287839777883847
ENSMUSG00000027435,Cd93,0.0410478150805555,-3.645939505493879,0,0.07054817604545022,-2.18318868776684,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016678707546800854,2.1169645766293144,5.451809028031128,0,0.033916519404264746,-3.0685726218503246,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006804577162969084
ENSMUSG00000031841,Cdh13,1.2938063695359074,0.9933168705364682,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049254834670337,0.8142200157992228,-0.37851131695238727,0.00000000000000000000000019544428839619617,0.44330484454668384,-1.2580287810269866,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018464930623235678,0.46885855126147113,-1.1804295265909837,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048181800686211984
ENSMUSG00000050840,Cdh20,0.6787379496776363,-0.34132598682176357,0.000000000000000000000000000000024203215637530457,1.3571587786450077,1.2635161115308713,0,0.3931801266466957,-1.0310604396428578,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000030790368695813283,0.16531636816544137,-2.335766016790095,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015911241449101302
ENSMUSG00000000305,Cdh4,0.3183909028534974,0.7809496562404235,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008443264846211909,0.22848202615253144,-0.22277853435100892,0.00000011446995711076415,0.16371008782014465,-0.7083098359442672,0.000000000000000000000000001113367291386454,0.10729565572544131,-1.3587679218065156,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000001911590509775455
