Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000090125,Pou3f1,0.35910181794328244,-0.1548072245069374,0.00017646940306078685,0.35704563863941297,-0.17337931437345633,0.000010438440715728427,0.34035933989840134,-0.26013850617353307,0.0000000001033499266628673,0.2433536450254818,-0.7378946349415636,0.000000000000000000000000000000033485558758993874,0.7957999413851332,1.2273547792395025,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018443790244848498
ENSMUSG00000061718,Ppp1r1b,1.1357239313899985,0.1977924276075819,0.000000076668030262617,1.4191171050790363,0.7023413773012539,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012260378258761007,0.927529994532368,-0.19422045564462675,0.00000012174542764163137,0.6931254154664299,-0.6165219796277805,0.0000000000000000000000000010379940187300358,0.3128184657052493,-1.831159333025135,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016332141555336166
ENSMUSG00000035456,Prdm8,0.27481502760731263,-1.736222837787852,0,0.24085818064284648,-1.9964602470253052,0,1.0123327368896131,0.6004298369030516,0.00000000000000000000000000000000000000000000000000000000000000002045406582985969,0.28870485264790585,-1.4894481332666545,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009890777920834524,2.9853159644672735,2.6221673621467674,0
ENSMUSG00000010175,Prox1,2.3119207949458533,1.3746826569734647,0,0.347564342854439,-2.1914383154197306,0,0.19345625600246533,-3.061375770773923,0,0.429433857744294,-1.6296423986354696,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001088207918412811,4.392679204858989,2.367418274526608,0
ENSMUSG00000023484,Prph,0.1519644056793476,1.5058178800076916,0.0000000000000000000000000000000000011693230063549788,0.02145766940809889,-2.2091059624195992,0.000000000000000000000000000000000000000000000008275780688873948,0.028267580785748356,-1.7504370383754204,0.00000000000000000000000000000009252167119887166,0.24592510525149552,2.0618240748016796,0.000000000000000000000000000000000000000014819609937760897,0.02111044860587572,-1.9884328198871093,0.000000000000000007658136532791901
ENSMUSG00000073565,Prr16,0.22823297360510056,-0.8199288827694633,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000960977730664516,0.22979666889371023,-0.839135574793227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019597802829178507,0.7917572705708203,1.9494615681228797,0,0.20782074008420107,-0.8585780813712542,0.00000000000000000000000000000000000000000002242605065752855,0.08678739982415574,-2.179023175542543,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017344601166993604
ENSMUSG00000033491,Prss35,0.06490941951127913,0.1287128353530127,0.18013647161698249,0.07701473593759524,0.5017664802118378,0.00000002404818380418671,0.011837049454032125,-2.7168846671263265,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011170207227896306,0.032493906492355396,-0.9663210935852518,0.0000000016379508927979475,0.1537437721700646,1.6412375437198823,0.00000000000000000000000000000000000000000000000002515780091660959
ENSMUSG00000048776,Pthlh,0.04725023920306348,-0.41672718948445775,0.0000004780459708844225,0.09373175745320717,1.0333582369314414,0.000000000000000000000000000000000000000000000022529816948354876,0.037896225490893894,-0.8186245659247895,0.00000000000000000000017905088082232226,0.08649457123864386,0.6238028744813691,0.000000001510873708102374,0.024522238279552605,-1.3621026911690453,0.000000000000000000000009696604062816107
ENSMUSG00000005716,Pvalb,0.7478901498101058,-1.2802538154416436,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003842827406184791,3.396383122552459,2.0237108930820686,0,1.0834433698037613,-0.6705685632920932,0.0000000000000000000000000000000000000000000000000000015766901194858412,0.8039319742964763,-1.0269885449269402,0.00000000000000000000000000000000000000000000000000007078880990089717,0.45952542167335536,-1.878216801479711,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045086653485968946
ENSMUSG00000003411,Rab3b,0.4156111949295725,-1.0910320716949198,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001177665887832829,1.8624092676572033,2.438013788751324,0,0.3486629417542149,-1.4029621736987146,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002869010603374903,0.30483492133835566,-1.430619741502787,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014016152632638243,0.20620003840284667,-2.024976499065297,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020755613314011362
