Barcode,UMAP-1,UMAP-2
280,4.461281060155664,-5.8789940447891444
281,4.546923245715148,-5.835844427550083
282,-2.5458779039233717,-2.2594637926247874
283,4.215714083882132,-5.56372726173988
284,4.4945630577382785,-6.227402475833795
285,4.48349803230959,-5.412871377527979
286,2.4994820030806335,-2.242958514398803
287,0.7526587374383801,-2.1004445042297544
288,-0.5009369590191348,-2.7356153285323366
289,4.495661492435302,-5.844597430247496
290,4.039839245574936,-7.075442957093043
291,4.685006402057655,-6.156207319027445
292,4.332345025974942,-5.147258331628984
293,4.594864107024961,-5.731202960781509
294,3.81013281655151,-5.515992462053929
295,4.544037862887703,-5.974698152732553
296,4.825606742467897,-4.645817592674164
297,5.958548715117788,-0.3996967323606819
298,3.7699590572418096,-5.606790638785306
299,4.049435479566623,-6.266808977356238
300,-2.699112206512048,-0.17575094258458196
301,4.175290425677719,-6.114752355115254
302,4.3814090872974,-6.033061343121994
303,4.931154008516585,-5.079267792084469
304,4.438253964571276,-5.081612360943014
305,5.508755048791232,-6.055011567482376
306,4.442646833119875,-6.019112804402971
307,6.552795222804917,5.060175122988562
308,0.6384829418470587,6.118724915106954
309,4.7370948623841755,-6.127799776032967
310,6.073594059618758,-0.33206001066917457
311,1.8612575878925968,-7.125511110849984
312,4.768397615770999,-5.352422539168803
313,3.785694307113572,-6.765399459054766
314,4.7130967081740796,-5.464950441947975
315,5.087780688328118,-5.4746968541869965
316,4.878894725394255,-0.03396738177637992
317,0.2871940380209357,-6.731643657641813
318,-0.07040507778966501,6.12236992917886
319,5.092857890594577,-5.20869174429693
320,4.322994925731569,-4.554719054612486
321,4.830686380408901,2.526965451816766
322,4.00247349283627,-5.94957783538543
323,5.179878902165219,-5.907500979718255
324,5.932241224119263,-0.5692319265324053
325,4.924041859110816,-5.344105092067711
326,5.139856571524708,-5.348942906854594
327,4.449293175927659,-5.214146943216915
328,4.6116918376865135,-6.211242306776166
329,-0.22935323025360482,-6.8774139915414
330,5.502901045400226,0.6117375833012537
331,4.186010859760497,-5.288890710528305
332,5.029951091130985,-5.652457581443673
333,-2.919396225917751,-0.9903100851476089
334,5.839635251785864,0.10599463113427879
335,4.852538869750003,-5.228954752449768
336,1.4138897498411354,-2.36992453628085
337,4.748869477651048,-5.422091656286939
338,-0.14386899382520352,-6.939990354675463
339,4.60715462210678,-6.467361629667399
340,4.459941994869734,-5.628998679226851
341,4.548124777004954,-5.557113339545947
342,0.13997414948563103,-6.882282165563174
343,4.366844108611646,-5.217113915319989
344,4.6292067712818525,-6.294125129336921
345,4.810397116885949,-0.012973410339659985
346,6.223029167897409,-5.882047536290119
347,4.489096018973768,-5.628612561052816
348,4.987000181217962,-4.466471680601734
349,0.19043135675310133,4.734105441572822
350,-0.5210676527165912,2.4919227074943455
351,0.46385618874059764,8.789316727565298
352,4.440938089478563,3.0397924587103895
353,0.6633751034576723,9.181443230429425
354,4.78308726883969,1.8563098102412117
355,-0.05770447305123558,6.343667537795345
356,-1.736114867323244,6.770122751719758
357,0.7717250497798485,9.421531868120413
358,0.6976985546688454,9.273103899175716
359,-2.332956416100965,6.409807554530559
360,-1.6297115719645154,7.117326032606438
